Forecast_0,Forecast_1,Forecast_2,Forecast_3,Forecast_4,Forecast_5,Forecast_6,Forecast_7,Forecast_8,Forecast_9,Forecast_10,Forecast_11,Forecast_12,Forecast_13,True_0,True_1,True_2,True_3,True_4,True_5,True_6,True_7,True_8,True_9,True_10,True_11,True_12,True_13
0.060095638,0.3780783,0.0198601,0.010422386,0.2765764,0.4857869,0.27598342,0.10484421,0.43792287,0.34739763,0.47508177,0.54334545,0.95588446,0.03415161,0.0,0.48523712,0.0,0.0,0.24158657,0.45374534,0.27755904,0.096491225,0.44010893,0.34828046,0.40243685,0.5251648,1.0,0.0
0.059477724,0.37835994,0.019611266,0.009722903,0.27656814,0.48627514,0.27578598,0.105845325,0.43787637,0.34716472,0.47586176,0.5442313,0.9564586,0.033761933,0.0,0.48523712,0.0,0.0,0.2411859,0.45452768,0.27755904,0.096271925,0.44010893,0.3478325,0.40414375,0.5251648,1.0,0.0
0.057493478,0.3783276,0.018877216,0.008147344,0.27684364,0.48701206,0.27556846,0.10412204,0.4375614,0.34601423,0.47779924,0.54551667,0.95773023,0.033051006,0.0,0.48523712,0.0,0.0,0.24158657,0.45570114,0.27755904,0.096491225,0.44010893,0.34535915,0.40580344,0.5251648,1.0,0.0
0.056137472,0.37724873,0.018448096,0.007067442,0.27623126,0.4867076,0.27538434,0.10336459,0.4372544,0.3451969,0.47809026,0.5455162,0.9589303,0.032703254,0.0,0.47209072,0.0,0.0,0.2411859,0.45609233,0.27755904,0.096491225,0.44010893,0.34510508,0.40580344,0.5251648,1.0,0.0
0.05419457,0.37490198,0.017893031,0.005659178,0.27507678,0.48584604,0.2752081,0.10155776,0.43678945,0.34390986,0.47798234,0.54490083,0.9605099,0.03229447,0.0,0.47209072,0.0,0.0,0.24158657,0.45687464,0.27755904,0.09802631,0.44010893,0.34727845,0.40580344,0.52747726,1.0,0.0
0.05407448,0.37238285,0.018084567,0.005623877,0.27338836,0.48425797,0.2751349,0.10275609,0.4366456,0.3437235,0.47590283,0.543188,0.96089727,0.032446716,0.0,0.47209072,0.0,0.0,0.24158657,0.45785254,0.27755904,0.09802631,0.44010893,0.34924477,0.40580344,0.52747726,1.0,0.0
0.05301086,0.37046063,0.017826058,0.004936993,0.27248672,0.48329613,0.27510253,0.10106428,0.43633148,0.3428893,0.47529885,0.5421821,0.9617223,0.032396857,0.0,0.47209072,0.0,0.0,0.2411859,0.45843926,0.27755904,0.096491225,0.44010893,0.35092783,0.40755552,0.5298104,1.0,0.0
0.05269572,0.36839584,0.017855305,0.004814163,0.2712692,0.48187298,0.275132,0.100219026,0.43609962,0.34262127,0.4737353,0.5405259,0.962325,0.032639604,0.0,0.47209072,0.0,0.0,0.24158657,0.45883042,0.27755904,0.096491225,0.44010893,0.35260445,0.40755552,0.5298104,1.0,0.0
0.053082526,0.36655438,0.018042509,0.005132675,0.269832,0.48022288,0.2752134,0.10021202,0.43595707,0.3431471,0.4715129,0.5385506,0.962699,0.033119746,0.0,0.45883322,0.0,0.0,0.24158657,0.4594172,0.27755904,0.10526315,0.44010893,0.3497505,0.40755552,0.5298104,1.0,0.0
0.055602036,0.36271632,0.019136317,0.0070578754,0.2668021,0.4769196,0.2754428,0.104406536,0.4361648,0.34513116,0.46580797,0.53443545,0.9624803,0.03424891,0.0,0.45883322,0.0,0.0,0.24158657,0.45980835,0.27755904,0.09802631,0.44010893,0.34550443,0.40927777,0.5298104,1.0,0.0
0.053957082,0.36117974,0.018879324,0.0060275495,0.266398,0.47625723,0.27546588,0.101076216,0.43575743,0.34350905,0.46603,0.53371656,0.96411103,0.03386933,0.0,0.45883322,0.0,0.0,0.24158657,0.46039507,0.27755904,0.096491225,0.44010893,0.34082675,0.40927777,0.53205174,1.0,0.0
0.053837575,0.35977837,0.019136194,0.006014928,0.26547015,0.475128,0.27548918,0.10075604,0.43558583,0.3432858,0.46470946,0.532394,0.9651085,0.034043785,0.0,0.45883322,0.0,0.0,0.24198717,0.46078622,0.27755904,0.09802631,0.44010893,0.33996865,0.41096184,0.53205174,1.0,0.0
0.054705136,0.35812372,0.019724283,0.006755084,0.26434827,0.47367147,0.27564403,0.10161418,0.4356318,0.34362698,0.46239755,0.5304713,0.9655841,0.0344237,0.0,0.45883322,0.0,0.0,0.24238783,0.46156856,0.27755904,0.096491225,0.44010893,0.33652496,0.41096184,0.53205174,1.0,0.0
0.05475878,0.35722247,0.019903634,0.0068843514,0.263738,0.47292274,0.27571,0.10107915,0.43553138,0.34373558,0.4614977,0.5295601,0.96606374,0.034680985,0.0,0.45883322,0.0,0.0,0.24158657,0.46176413,0.27755904,0.096491225,0.44010893,0.3323667,0.41096184,0.53205174,1.0,0.0
0.055861242,0.35560715,0.020365354,0.0076840073,0.262925,0.47207144,0.27592644,0.10166998,0.4357119,0.34441796,0.45976865,0.52828705,0.9661894,0.035453133,0.0,0.45883322,0.0,0.0,0.24198717,0.46254647,0.27755904,0.096491225,0.44101635,0.33092895,0.41096184,0.53205174,1.0,0.0
0.056274526,0.35446864,0.020580634,0.007988274,0.26249912,0.47163165,0.27606168,0.10115436,0.43574727,0.34466264,0.4590202,0.5276281,0.9665572,0.036080647,0.0,0.43238258,0.0,0.0,0.24198717,0.46254647,0.27755904,0.096491225,0.44010893,0.3307758,0.41096184,0.53205174,1.0,0.0
0.05624529,0.3522727,0.020895477,0.007994235,0.26172993,0.47089353,0.27616006,0.100638665,0.43570164,0.3442376,0.45801926,0.52666646,0.967833,0.036478505,0.0,0.43238258,0.0,0.0,0.24198717,0.46293762,0.27755904,0.098245606,0.44010893,0.3285408,0.41096184,0.53205174,1.0,0.0
0.05760453,0.34991497,0.021664694,0.009004101,0.26086557,0.4700181,0.27640527,0.10229262,0.43604195,0.3444598,0.45594326,0.52523583,0.96821725,0.037194513,0.0,0.43238258,0.0,0.0,0.24238783,0.46332875,0.27755904,0.096491225,0.44010893,0.32601982,0.41265005,0.53205174,1.0,0.0
0.055664234,0.34935817,0.02114467,0.0074281245,0.2613464,0.47101128,0.27619502,0.09987572,0.4357477,0.34282434,0.45816368,0.5267217,0.96965116,0.037037972,0.0,0.43238258,0.0,0.0,0.24238783,0.46352434,0.27755904,0.10482456,0.44101635,0.3256941,0.41265005,0.53205174,1.0,0.0
0.057378642,0.347588,0.021847978,0.008696899,0.2607826,0.47039297,0.27647683,0.10175441,0.43619168,0.34342602,0.4562298,0.52553254,0.969427,0.037826937,0.0,0.43238258,0.0,0.0,0.2427885,0.4641111,0.27755904,0.096491225,0.44010893,0.3256772,0.41265005,0.534312,1.0,0.0
0.054484352,0.34824887,0.020753413,0.006488174,0.26182044,0.47205558,0.27612644,0.09846618,0.4356935,0.34147507,0.45990428,0.5281134,0.9711434,0.03752119,0.0,0.43238258,0.0,0.0,0.24238783,0.46450227,0.27755904,0.10526315,0.44101635,0.3270917,0.4143835,0.534312,1.0,0.0
0.05671092,0.34751025,0.021145742,0.007624626,0.26139534,0.4720598,0.2764006,0.10079704,0.4363262,0.34321687,0.45840296,0.5276987,0.969288,0.03832275,0.0,0.4193325,0.0,0.0,0.2427885,0.46450227,0.27755904,0.096491225,0.44010893,0.32578653,0.4143835,0.534312,1.0,0.0
